18
4.9134, 8.51025844, 5.4052
2,       1.1544,      6.5108,      3.6035
2,       1.1544,      1.9995,      1.8017
2,       3.6111,      2.2556,      3.6035
2,       3.6111,      6.2546,      1.8017
2,       0.1479,      4.2551,      0.0000
2,       2.6046,      0.0000,      0.0000
1,       1.6760,      7.8890,      4.2452
1,       1.6760,      0.6212,      1.1600
1,       4.1327,      3.6339,      4.2452
1,       2.1567,      6.0172,      2.4435
1,       1.0807,      3.1143,      0.6418
1,       4.1327,      4.8764,      1.1600
1,       1.0807,      5.3959,      4.7634
1,       2.1567,      2.4931,      2.9617
1,       3.5374,      7.3695,      0.6418
1,       4.6134,      6.7482,      2.9617
1,       4.6134,      1.7620,      2.4435
1,       3.5374,      1.1408,      4.7634
