 #sp,x,y,z
2,    1.154400000,    6.510800000,    3.603500000
2,    1.154400000,    1.999500000,    1.801700000
2,    3.611100000,    2.255600000,    3.603500000
2,    3.611100000,    6.254600000,    1.801700000
2,    0.147900000,    4.255100000,    0.000000000
2,    2.604600000,    0.000000000,    0.000000000
1,    1.676000000,    7.889000000,    4.245200000
1,    1.676000000,    0.621200000,    1.160000000
1,    4.132700000,    3.633900000,    4.245200000
1,    2.156700000,    6.017200000,    2.443500000
1,    1.080700000,    3.114300000,    0.641800000
1,    4.132700000,    4.876400000,    1.160000000
1,    1.080700000,    5.395900000,    4.763400000
1,    2.156700000,    2.493100000,    2.961700000
1,    3.537400000,    7.369500000,    0.641800000
1,    4.613400000,    6.748200000,    2.961700000
1,    4.613400000,    1.762000000,    2.443500000
1,    3.537400000,    1.140800000,    4.763400000
2,    1.154400000,    6.510800000,   -7.206900000
2,    1.154400000,    1.999500000,    7.206900000
2,    3.611100000,    2.255600000,   -7.206900000
2,    3.611100000,    6.254600000,    7.206900000
2,    0.147900000,    4.255100000,    5.405200000
2,    2.604600000,    0.000000000,    5.405200000
1,    1.676000000,    7.889000000,   -6.565200000
1,    1.676000000,    0.621200000,    6.565200000
1,    4.132700000,    3.633900000,   -6.565200000
1,    2.156700000,    6.017200000,    7.848700000
1,    1.080700000,    3.114300000,    6.047000000
1,    4.132700000,    4.876400000,    6.565200000
1,    1.080700000,    5.395900000,   -6.047000000
1,    2.156700000,    2.493100000,   -7.848700000
1,    3.537400000,    7.369500000,    6.047000000
1,    4.613400000,    6.748200000,   -7.848700000
1,    4.613400000,    1.762000000,    7.848700000
1,    3.537400000,    1.140800000,   -6.047000000
2,    1.154400000,    6.510800000,   -1.801700000
2,    1.154400000,    1.999500000,   -3.603500000
2,    3.611100000,    2.255600000,   -1.801700000
2,    3.611100000,    6.254600000,   -3.603500000
2,    0.147900000,    4.255100000,   -5.405200000
2,    2.604600000,    0.000000000,   -5.405200000
1,    1.676000000,    7.889000000,   -1.160000000
1,    1.676000000,    0.621200000,   -4.245200000
1,    4.132700000,    3.633900000,   -1.160000000
1,    2.156700000,    6.017200000,   -2.961700000
1,    1.080700000,    3.114300000,   -4.763400000
1,    4.132700000,    4.876400000,   -4.245200000
1,    1.080700000,    5.395900000,   -0.641800000
1,    2.156700000,    2.493100000,   -2.443500000
1,    3.537400000,    7.369500000,   -4.763400000
1,    4.613400000,    6.748200000,   -2.443500000
1,    4.613400000,    1.762000000,   -2.961700000
1,    3.537400000,    1.140800000,   -0.641800000
2,    1.154400000,  -10.509716880,    3.603500000
2,    1.154400000,   10.509758440,    1.801700000
2,    3.611100000,   10.765858440,    3.603500000
2,    3.611100000,  -10.765916880,    1.801700000
2,    0.147900000,   12.765358440,    0.000000000
2,    2.604600000,    8.510258440,    0.000000000
1,    1.676000000,   -9.131516880,    4.245200000
1,    1.676000000,    9.131458440,    1.160000000
1,    4.132700000,   12.144158440,    4.245200000
1,    2.156700000,  -11.003316880,    2.443500000
1,    1.080700000,   11.624558440,    0.641800000
1,    4.132700000,  -12.144116880,    1.160000000
1,    1.080700000,  -11.624616880,    4.763400000
1,    2.156700000,   11.003358440,    2.961700000
1,    3.537400000,   -9.651016880,    0.641800000
1,    4.613400000,  -10.272316880,    2.961700000
1,    4.613400000,   10.272258440,    2.443500000
1,    3.537400000,    9.651058440,    4.763400000
2,    1.154400000,  -10.509716880,   -7.206900000
2,    1.154400000,   10.509758440,    7.206900000
2,    3.611100000,   10.765858440,   -7.206900000
2,    3.611100000,  -10.765916880,    7.206900000
2,    0.147900000,   12.765358440,    5.405200000
2,    2.604600000,    8.510258440,    5.405200000
1,    1.676000000,   -9.131516880,   -6.565200000
1,    1.676000000,    9.131458440,    6.565200000
1,    4.132700000,   12.144158440,   -6.565200000
1,    2.156700000,  -11.003316880,    7.848700000
1,    1.080700000,   11.624558440,    6.047000000
1,    4.132700000,  -12.144116880,    6.565200000
1,    1.080700000,  -11.624616880,   -6.047000000
1,    2.156700000,   11.003358440,   -7.848700000
1,    3.537400000,   -9.651016880,    6.047000000
1,    4.613400000,  -10.272316880,   -7.848700000
1,    4.613400000,   10.272258440,    7.848700000
1,    3.537400000,    9.651058440,   -6.047000000
2,    1.154400000,  -10.509716880,   -1.801700000
2,    1.154400000,   10.509758440,   -3.603500000
2,    3.611100000,   10.765858440,   -1.801700000
2,    3.611100000,  -10.765916880,   -3.603500000
2,    0.147900000,   12.765358440,   -5.405200000
2,    2.604600000,    8.510258440,   -5.405200000
1,    1.676000000,   -9.131516880,   -1.160000000
1,    1.676000000,    9.131458440,   -4.245200000
1,    4.132700000,   12.144158440,   -1.160000000
1,    2.156700000,  -11.003316880,   -2.961700000
1,    1.080700000,   11.624558440,   -4.763400000
1,    4.132700000,  -12.144116880,   -4.245200000
1,    1.080700000,  -11.624616880,   -0.641800000
1,    2.156700000,   11.003358440,   -2.443500000
1,    3.537400000,   -9.651016880,   -4.763400000
1,    4.613400000,  -10.272316880,   -2.443500000
1,    4.613400000,   10.272258440,   -2.961700000
1,    3.537400000,    9.651058440,   -0.641800000
2,    1.154400000,   -1.999458440,    3.603500000
2,    1.154400000,   -6.510758440,    1.801700000
2,    3.611100000,   -6.254658440,    3.603500000
2,    3.611100000,   -2.255658440,    1.801700000
2,    0.147900000,   -4.255158440,    0.000000000
2,    2.604600000,   -8.510258440,    0.000000000
1,    1.676000000,   -0.621258440,    4.245200000
1,    1.676000000,   -7.889058440,    1.160000000
1,    4.132700000,   -4.876358440,    4.245200000
1,    2.156700000,   -2.493058440,    2.443500000
1,    1.080700000,   -5.395958440,    0.641800000
1,    4.132700000,   -3.633858440,    1.160000000
1,    1.080700000,   -3.114358440,    4.763400000
1,    2.156700000,   -6.017158440,    2.961700000
1,    3.537400000,   -1.140758440,    0.641800000
1,    4.613400000,   -1.762058440,    2.961700000
1,    4.613400000,   -6.748258440,    2.443500000
1,    3.537400000,   -7.369458440,    4.763400000
2,    1.154400000,   -1.999458440,   -7.206900000
2,    1.154400000,   -6.510758440,    7.206900000
2,    3.611100000,   -6.254658440,   -7.206900000
2,    3.611100000,   -2.255658440,    7.206900000
2,    0.147900000,   -4.255158440,    5.405200000
2,    2.604600000,   -8.510258440,    5.405200000
1,    1.676000000,   -0.621258440,   -6.565200000
1,    1.676000000,   -7.889058440,    6.565200000
1,    4.132700000,   -4.876358440,   -6.565200000
1,    2.156700000,   -2.493058440,    7.848700000
1,    1.080700000,   -5.395958440,    6.047000000
1,    4.132700000,   -3.633858440,    6.565200000
1,    1.080700000,   -3.114358440,   -6.047000000
1,    2.156700000,   -6.017158440,   -7.848700000
1,    3.537400000,   -1.140758440,    6.047000000
1,    4.613400000,   -1.762058440,   -7.848700000
